,datetime_utc,o3_dpw,o3_pema,o3_pha,mean_o3,std_o3,rsd_o3
253,2024-12-27 13:00:00+00:00,23.992583333333336,24.4885,23.827566666666662,24.102883333333335,0.3439953274068967,0.014271957535103892
330,2024-12-30 18:00:00+00:00,40.206916666666665,40.636783333333334,40.04423333333333,40.29597777777778,0.3061499416287062,0.007597531031931931
331,2024-12-30 19:00:00+00:00,39.086866666666666,39.6603,39.2636,39.33692222222222,0.2936640225634535,0.007465353311183983
332,2024-12-30 20:00:00+00:00,38.967099999999995,38.57941666666667,37.9759,38.50747222222222,0.49950111342699827,0.012971537330324735
351,2024-12-31 15:00:00+00:00,42.82876666666667,41.780150000000006,42.59663333333334,42.40185,0.5507763962000441,0.012989442588001329
352,2024-12-31 16:00:00+00:00,43.54371666666667,43.143283333333336,44.202133333333336,43.629711111111114,0.5346373668024723,0.012253974486352192
355,2024-12-31 19:00:00+00:00,43.97296666666667,43.836733333333335,43.427816666666665,43.74583888888889,0.2837137301015761,0.006485502102775704
430,2025-01-03 22:00:00+00:00,40.18163333333334,40.89508333333333,39.931733333333334,40.33615,0.4999173490021444,0.012393779500575646
432,2025-01-04 00:00:00+00:00,37.84686666666666,37.63811666666666,37.40801666666667,37.631,0.21951153918036342,0.005833263510944791
433,2025-01-04 01:00:00+00:00,36.67648333333333,36.35155,36.420550000000006,36.48286111111111,0.17119411118289754,0.004692453003110526
435,2025-01-04 03:00:00+00:00,36.51649999999999,36.351099999999995,36.483783333333335,36.4504611111111,0.08759034119336712,0.0024029967940972677
585,2025-01-10 09:00:00+00:00,42.783516666666664,43.03198333333333,42.29115,42.702216666666665,0.3770487693182967,0.00882972357761982
591,2025-01-10 15:00:00+00:00,44.29018333333333,45.2336,44.25943333333333,44.59440555555556,0.5537721047339654,0.012417972564833901
592,2025-01-10 16:00:00+00:00,44.7378,45.787299999999995,45.236149999999995,45.25375,0.5249713158830654,0.011600614664708792
615,2025-01-11 15:00:00+00:00,33.459516666666666,33.42443333333333,32.77771666666667,33.220555555555556,0.38391069430754576,0.011556420050396882
637,2025-01-12 13:00:00+00:00,44.703,45.26958333333334,44.06015,44.67757777777778,0.6051173142304586,0.0135440940249773
662,2025-01-13 14:00:00+00:00,35.80631666666667,35.71638333333333,36.3734,35.96536666666666,0.3562167906548525,0.009904439288950738
663,2025-01-13 15:00:00+00:00,40.208099999999995,40.44748333333334,39.76971666666667,40.14176666666667,0.34371790314798145,0.008562600296149931
664,2025-01-13 16:00:00+00:00,41.05181666666667,41.37448333333334,41.03756666666666,41.15462222222222,0.19053857026665366,0.004629821876089747
665,2025-01-13 17:00:00+00:00,40.691966666666666,40.863733333333336,40.08383333333333,40.54651111111111,0.40979139996037406,0.010106699410891543
667,2025-01-13 19:00:00+00:00,42.8534,41.68295,42.276399999999995,42.270916666666665,0.5852442659551094,0.013845081017999595
668,2025-01-13 20:00:00+00:00,41.67713333333334,41.60953333333334,40.94116666666666,41.40927777777778,0.4068027154030124,0.009823950989585295
669,2025-01-13 21:00:00+00:00,39.124316666666665,39.95381666666666,38.955850000000005,39.344661111111115,0.5342266584443232,0.013578123266474267
728,2025-01-16 08:00:00+00:00,38.31475,38.35093333333334,37.38568333333333,38.01712222222222,0.5471413082593055,0.014391970677346114
735,2025-01-16 15:00:00+00:00,42.514266666666664,42.67775,42.594633333333334,42.595549999999996,0.08174552145395024,0.00191910942466878
736,2025-01-16 16:00:00+00:00,44.658350000000006,44.42131666666667,44.12036666666666,44.400011111111105,0.2696237410898048,0.006072605261630924
737,2025-01-16 17:00:00+00:00,45.43888333333334,45.01603333333333,44.534683333333334,44.99653333333333,0.4524152931765253,0.010054447746564001
759,2025-01-17 15:00:00+00:00,38.5637,38.91005,38.716316666666664,38.730022222222225,0.17358128446009094,0.004481827649468653
761,2025-01-17 17:00:00+00:00,42.3448,41.72988333333333,42.246316666666665,42.107,0.3302839338273117,0.00784391986670415
763,2025-01-17 19:00:00+00:00,43.321083333333334,42.42165,43.23585,42.99286111111112,0.49651563960299444,0.011548792677923787
809,2025-01-19 17:00:00+00:00,38.732200000000006,38.42885,38.109116666666665,38.42338888888889,0.31157756316906493,0.008109059928838437
854,2025-01-21 14:00:00+00:00,38.7737,38.309983333333335,39.20155,38.761744444444446,0.4459035565671767,0.011503701986536524
855,2025-01-21 15:00:00+00:00,41.863566666666664,41.647749999999995,40.80728333333333,41.43953333333333,0.5580763883894185,0.013467245972591838
856,2025-01-21 16:00:00+00:00,43.09696666666667,43.294133333333335,42.225683333333336,42.87226111111111,0.5685646758708696,0.013261830870019494
857,2025-01-21 17:00:00+00:00,43.713,43.54933333333334,43.90895,43.723761111111116,0.18004968167250188,0.004117890984148376
881,2025-01-22 17:00:00+00:00,44.83881666666666,44.23618333333333,44.24495,44.43998333333334,0.3454276110047396,0.007772901452589944
882,2025-01-22 18:00:00+00:00,44.5879,44.74325,45.211283333333334,44.84747777777778,0.32449848584364055,0.007235601686488413
883,2025-01-22 19:00:00+00:00,45.697183333333335,45.06881666666666,45.58998333333333,45.45199444444444,0.33614262900893455,0.007395552893059482
884,2025-01-22 20:00:00+00:00,45.12036666666667,44.8898,44.25703333333333,44.75573333333333,0.44700840533981684,0.00998773502403752
902,2025-01-23 14:00:00+00:00,27.14835,26.707933333333337,26.874183333333335,26.91015555555556,0.22240101314550614,0.008264575531210254
903,2025-01-23 15:00:00+00:00,35.91395,35.713316666666664,36.53476666666666,36.0540111111111,0.42826144089709767,0.011878329974916892
905,2025-01-23 17:00:00+00:00,44.3449,44.76798333333333,44.61836666666667,44.57708333333334,0.21454163219394937,0.004812823454367233
906,2025-01-23 18:00:00+00:00,46.23355,46.6431,46.41095,46.4292,0.2053840244517551,0.004423596022583958
907,2025-01-23 19:00:00+00:00,47.37575,46.879333333333335,46.4727,46.90926111111111,0.45226826058992237,0.009641342666188284
908,2025-01-23 20:00:00+00:00,47.33981666666667,47.687016666666665,46.869166666666665,47.29866666666667,0.41047490483585014,0.008678361014458126
927,2025-01-24 15:00:00+00:00,42.2378,42.051950000000005,41.37683333333334,41.88886111111111,0.4530611322294551,0.010815790169794797
928,2025-01-24 16:00:00+00:00,42.66655,42.36515,42.20835,42.41335,0.2328717243462581,0.005490528910030877
929,2025-01-24 17:00:00+00:00,42.35425,42.866683333333334,42.130783333333326,42.45057222222222,0.3772872650519402,0.008887683847390781
930,2025-01-24 18:00:00+00:00,42.83423333333334,43.0238,43.08256666666667,42.9802,0.12978089655689376,0.0030195507828463747
961,2025-01-26 01:00:00+00:00,40.0916,40.66991666666667,39.84921666666666,40.203577777777774,0.42165316260765917,0.010487951220120632
976,2025-01-26 16:00:00+00:00,46.49446666666667,45.57901666666667,46.24068333333333,46.10472222222222,0.47262696011328553,0.010251161645335365
977,2025-01-26 17:00:00+00:00,48.3704,47.42558333333333,47.764583333333334,47.85352222222222,0.4786462450185633,0.010002320054850414
998,2025-01-27 14:00:00+00:00,42.817483333333335,42.01906666666666,42.53838333333333,42.45831111111111,0.4051863324218682,0.009543157083227297
999,2025-01-27 15:00:00+00:00,45.67443333333333,46.62611666666667,46.4225,46.24101666666667,0.5011261736772937,0.010837265479903168
1000,2025-01-27 16:00:00+00:00,48.08338333333334,47.81541666666667,48.03691666666667,47.978572222222226,0.1431942361244305,0.0029845455896686155
1001,2025-01-27 17:00:00+00:00,48.62433333333333,48.31335,49.03023333333333,48.655972222222225,0.35948740293697146,0.007388351039315701
1002,2025-01-27 18:00:00+00:00,49.74345,49.31216666666667,49.75651666666667,49.60404444444445,0.2528579884338535,0.0050975276565815
1003,2025-01-27 19:00:00+00:00,49.050383333333336,49.35811666666667,49.41596666666667,49.27482222222222,0.19651022049567576,0.003988045245692485
1004,2025-01-27 20:00:00+00:00,47.9004,48.07285,47.26218333333334,47.74514444444444,0.4270519017160052,0.008944404853836322
1005,2025-01-27 21:00:00+00:00,47.125083333333336,47.43766666666667,46.258783333333334,46.940511111111114,0.6107304293342669,0.013010732411682309
1019,2025-01-28 11:00:00+00:00,42.26048333333333,43.22616666666667,42.067483333333335,42.51804444444445,0.6207979230020878,0.014600810811354316
1021,2025-01-28 13:00:00+00:00,44.99908333333334,44.37866666666666,43.830133333333336,44.402627777777774,0.5848432497338589,0.013171365727740915
1022,2025-01-28 14:00:00+00:00,46.02658333333333,45.32411666666667,45.67933333333333,45.676677777777776,0.3512408624091497,0.007689719994916801
1024,2025-01-28 16:00:00+00:00,46.965983333333334,46.47318333333333,45.66061666666667,46.366594444444445,0.6591786002571951,0.014216670604243108
1027,2025-01-28 19:00:00+00:00,49.01745,49.37115000000001,48.2026,48.86373333333333,0.5992486010274355,0.012263667962894817
1038,2025-01-29 06:00:00+00:00,38.15846666666666,38.41243333333333,38.10415,38.22501666666667,0.16456406131892312,0.0043051403418334615
1050,2025-01-29 18:00:00+00:00,46.74466666666667,45.93748333333333,47.06815,46.58343333333334,0.5823220059478372,0.012500624455500356
1051,2025-01-29 19:00:00+00:00,45.89533333333333,45.64895,46.24335,45.92921111111111,0.2986446347590568,0.006502280956591681
1072,2025-01-30 16:00:00+00:00,48.549216666666666,48.021233333333335,47.33626666666667,47.96890555555555,0.6081657445716341,0.012678332714247197
1128,2025-02-02 00:00:00+00:00,44.33603333333333,44.79485,44.134083333333336,44.42165555555556,0.33860230455232593,0.007622460268930226
1141,2025-02-02 13:00:00+00:00,38.69531666666667,38.678466666666665,38.37533333333333,38.583038888888886,0.18007548134458065,0.004667218719167262
1172,2025-02-03 20:00:00+00:00,37.48876666666667,36.82098333333333,37.41341666666666,37.241055555555555,0.3657388542895578,0.009820850908588103
1191,2025-02-04 15:00:00+00:00,44.05506666666667,44.25601666666667,44.05938333333334,44.123488888888886,0.1147927145546031,0.0026016237030501467
1192,2025-02-04 16:00:00+00:00,45.15888333333333,45.64273333333333,45.04774999999999,45.28312222222221,0.3163507039195142,0.006986062099849389
1193,2025-02-04 17:00:00+00:00,44.66438333333333,45.31368333333333,45.17106666666667,45.049711111111115,0.34123745493152924,0.007574686862916775
1195,2025-02-04 19:00:00+00:00,46.9184,47.681333333333335,47.31261666666667,47.304116666666665,0.38153768526553045,0.008065633863413519
1211,2025-02-05 11:00:00+00:00,39.373783333333336,38.60038333333333,38.310633333333335,38.761599999999994,0.5496044858198792,0.014179096988253304
1259,2025-02-07 11:00:00+00:00,22.967233333333336,23.061366666666668,22.88635,22.97165,0.08759188667400201,0.003813042888691148
1263,2025-02-07 15:00:00+00:00,42.271116666666664,42.31973333333334,41.44548333333333,42.01211111111111,0.4913157579209987,0.011694621977495876
1267,2025-02-07 19:00:00+00:00,46.77891666666667,46.3596,45.60678333333333,46.24843333333334,0.5939214246102863,0.012841979323485976
1287,2025-02-08 15:00:00+00:00,45.06818333333333,45.7301,45.48715,45.42847777777778,0.3348361399970877,0.007370622049785681
1289,2025-02-08 17:00:00+00:00,47.47271666666666,47.80068333333334,47.91331666666667,47.72890555555556,0.22890200313024417,0.0047958778954989125
1290,2025-02-08 18:00:00+00:00,49.15408333333333,48.33125,48.6388,48.70804444444445,0.41576407784454683,0.008535840077068998
1291,2025-02-08 19:00:00+00:00,48.93895,48.1125,47.5892,48.21355,0.6805252328165358,0.014114812802967959
1292,2025-02-08 20:00:00+00:00,48.003883333333334,46.891016666666665,46.7349,47.20993333333334,0.6919975110343805,0.014657879437118044
1309,2025-02-09 13:00:00+00:00,37.95583333333333,38.04735,37.49305,37.832077777777776,0.297150972820466,0.007854471397682784
1317,2025-02-09 21:00:00+00:00,40.52511666666667,41.4695,41.26703333333333,41.08721666666667,0.4972076983291535,0.012101274767841097
1333,2025-02-10 13:00:00+00:00,39.01388333333333,38.97193333333333,38.63961666666667,38.875144444444445,0.20504865569835612,0.005274543892470582
1334,2025-02-10 14:00:00+00:00,43.04546666666667,42.51948333333333,42.01195,42.52563333333334,0.5167857795493667,0.012152335874661477
